rank,candidate,selected,bucket,families,reasoning_signature,score,states,witness,hamming_1,hamming_le_2,fog,overlaps,edge_rays,zero_depends,reach_depends,plate_depends,distributed_evidence,causal_ambiguity,overlap_quality,negative_evidence_quality,mechanic_interaction,symmetry_penalty,edge_abuse_penalty,trivial_witness_penalty,long_witness_penalty,near_duplicate_penalty
88,fog_height_plate_light-003,,fog,HEIGHT+PLATE+LIGHT,SHADOW -> REACH -> ZERO -> LIGHT -> ORIENTATION -> TYPE,28.905,110400,8,11,67,4,0,1,True,False,False,17.6,7.305,0.0,1.2,3.6,0.0,-0.8,0.0,-0.0,0.0
89,dense_height_plate_light-008,,dense,HEIGHT+PLATE+LIGHT,OVERLAP -> SHADOW -> REACH -> LIGHT -> TYPE -> ORIENTATION,28.7551,1214400,9,6,34,0,1,2,False,False,False,19.8,6.1551,0.8,0.0,3.6,0.0,-1.6,0.0,-0.0,0.0
90,fog_plate_shutter-001,,fog,PLATE+SHUTTER,OVERLAP -> SHADOW -> PLATE_ABSENCE -> ZERO -> ORIENTATION -> SHUTTER,28.7444,69000,7,15,116,3,1,1,True,False,False,15.4,8.2444,1.8,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
91,dense_height_plate_shutter-019,,dense,HEIGHT+PLATE+SHUTTER,OVERLAP -> REACH -> SHADOW -> TYPE -> PLATE_ABSENCE -> ORIENTATION -> SHUTTER,28.6455,1518000,7,2,21,0,4,4,True,False,True,15.8,5.3513,3.4,2.4,6.6,0.0,-4.9058,0.0,-0.0,0.0
92,dense_height_plate_light-001,,dense,HEIGHT+PLATE+LIGHT,OVERLAP -> SHADOW -> TYPE -> ZERO -> LIGHT -> ORIENTATION,28.5345,1214400,7,7,42,0,2,2,True,False,False,15.8,6.5115,1.6,1.2,5.1,0.0,-1.677,0.0,-0.0,0.0
93,dense_height_plate_light-016,,dense,HEIGHT+PLATE+LIGHT,OVERLAP -> SHADOW -> REACH -> LIGHT -> TYPE -> ZERO -> PLATE_ABSENCE -> ORIENTATION,28.4501,1214400,9,6,46,0,1,3,True,False,False,20.2,6.6655,0.8,1.2,3.6,0.0,-4.0154,0.0,-0.0,0.0
94,dense_height_plate_shutter-016,,dense,HEIGHT+PLATE+SHUTTER,OVERLAP -> PLATE_ABSENCE -> SHADOW -> ZERO -> ORIENTATION -> SHUTTER -> TYPE,28.45,1518000,12,8,82,0,1,3,True,False,False,21.6,7.65,0.8,1.2,3.6,0.0,-3.4,0.0,-3.0,0.0
95,fog_height_light_shutter-001,,fog,HEIGHT+LIGHT+SHUTTER,SHADOW -> REACH -> ZERO -> LIGHT -> TYPE -> SHUTTER,28.4069,138000,8,5,50,3,0,1,True,True,False,17.6,6.8069,0.0,1.2,3.6,0.0,-0.8,0.0,-0.0,0.0
96,dense_height_plate_shutter-001,,dense,HEIGHT+PLATE+SHUTTER,OVERLAP -> SHADOW -> ZERO -> TYPE -> SHUTTER -> PLATE_ABSENCE -> ORIENTATION,28.1363,1518000,9,0,9,0,2,3,True,False,False,19.4,3.9863,1.6,1.2,5.1,0.0,-3.15,0.0,-0.0,0.0
97,three_height_plate_shutter-008,,three,HEIGHT+PLATE+SHUTTER,OVERLAP -> SHADOW -> TYPE -> ZERO -> ORIENTATION -> PLATE_ABSENCE -> SHUTTER,28.1205,138000,7,3,18,0,2,2,True,False,False,15.8,5.0975,2.6,1.2,5.1,0.0,-1.677,0.0,-0.0,0.0
98,fog_plate_shutter-003,,fog,PLATE+SHUTTER,OVERLAP -> SHADOW -> PLATE_ABSENCE -> ORIENTATION -> ZERO -> SHUTTER,28.045,69000,7,7,30,3,1,1,True,False,True,15.8,5.945,1.8,2.4,2.9,0.0,-0.8,0.0,-0.0,0.0
99,finale-008,,finale,HEIGHT+PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> ORIENTATION -> LIGHT -> SHUTTER -> TYPE,27.9519,6072000,9,9,48,0,1,3,False,False,False,19.8,6.7377,0.8,0.0,4.3,0.0,-3.6858,0.0,-0.0,0.0
100,two_plate_shutter-001,,two,PLATE+SHUTTER,OVERLAP -> SHADOW -> ZERO -> PLATE_ABSENCE -> SHUTTER -> ORIENTATION,27.8059,69000,7,7,26,0,1,0,True,False,False,16.2,5.7059,1.8,1.2,2.9,0.0,-0.0,0.0,-0.0,0.0
101,fog_height_light_shutter-004,,fog,HEIGHT+LIGHT+SHUTTER,SHADOW -> REACH -> LIGHT -> TYPE -> ZERO -> SHUTTER,27.7919,138000,9,4,22,3,0,2,True,False,False,19.8,5.4283,0.0,1.2,3.6,0.0,-2.2364,0.0,-0.0,0.0
102,fog_plate_shutter-008,,fog,PLATE+SHUTTER,OVERLAP -> SHADOW -> PLATE_ABSENCE -> ORIENTATION -> ZERO -> SHUTTER,27.7278,69000,7,12,72,3,1,1,True,False,False,16.2,7.4278,0.8,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
103,finale-007,,finale,HEIGHT+PLATE+LIGHT+SHUTTER,OVERLAP -> SHADOW -> REACH -> ORIENTATION -> ZERO -> LIGHT -> TYPE -> SHUTTER,27.645,6072000,9,2,30,0,1,3,True,False,False,19.8,5.945,0.8,1.2,4.3,0.0,-4.4,0.0,-0.0,0.0
104,fog_plate_shutter-006,,fog,PLATE+SHUTTER,OVERLAP -> SHADOW -> PLATE_ABSENCE -> ORIENTATION -> ZERO -> SHUTTER,27.6376,69000,7,7,54,3,1,1,True,False,True,15.4,6.9376,0.8,2.4,2.9,0.0,-0.8,0.0,-0.0,0.0
105,dense_height_plate_shutter-007,,dense,HEIGHT+PLATE+SHUTTER,OVERLAP -> REACH -> TYPE -> ZERO -> SHUTTER -> PLATE_ABSENCE -> ORIENTATION,27.5863,1518000,7,1,9,0,3,3,True,False,False,15.8,3.9863,3.4,1.2,6.6,0.0,-3.4,0.0,-0.0,0.0
106,two_plate_light-005,GR22,two,PLATE+LIGHT,OVERLAP -> SHADOW -> LIGHT -> ZERO -> ORIENTATION,27.5405,55200,7,8,51,0,1,0,True,False,False,15.8,6.8405,0.8,1.2,2.9,0.0,-0.0,0.0,-0.0,0.0
107,two_plate_shutter-003,,two,PLATE+SHUTTER,OVERLAP -> SHADOW -> ZERO -> ORIENTATION -> SHUTTER,27.5069,69000,6,13,101,0,2,1,True,False,False,13.6,8.0069,2.6,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
108,three_height_light_shutter-009,GR25,three,HEIGHT+LIGHT+SHUTTER,OVERLAP -> REACH -> SHADOW -> TYPE -> LIGHT -> ZERO -> SHUTTER,27.502,138000,8,0,11,0,1,0,True,False,False,17.6,4.302,0.8,1.2,3.6,0.0,-0.0,0.0,-0.0,0.0
109,fog_height_plate_light-006,,fog,HEIGHT+PLATE+LIGHT,REACH -> SHADOW -> ORIENTATION -> LIGHT -> TYPE,27.4268,110400,7,11,64,5,0,0,False,False,False,16.6,7.2268,0.0,0.0,3.6,0.0,-0.0,0.0,-0.0,0.0
110,dense_height_plate_light-017,,dense,HEIGHT+PLATE+LIGHT,OVERLAP -> SHADOW -> REACH -> PLATE_ABSENCE -> ZERO -> LIGHT -> ORIENTATION -> TYPE,27.3015,1214400,12,10,60,0,1,3,True,False,False,21.6,7.1169,0.8,1.2,3.6,0.0,-4.0154,0.0,-3.0,0.0
111,two_plate_shutter-006,,two,PLATE+SHUTTER,OVERLAP -> SHADOW -> ZERO -> PLATE_ABSENCE -> SHUTTER -> ORIENTATION,27.2842,69000,6,20,112,0,1,1,True,False,False,14.0,8.1842,1.8,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
112,fog_height_light-005,,fog,HEIGHT+LIGHT,REACH -> SHADOW -> LIGHT -> TYPE -> ZERO,27.1078,41400,7,7,80,3,0,1,True,False,False,16.2,7.6078,0.0,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
113,two_height_shutter-001,GR21,two,HEIGHT+SHUTTER,OVERLAP -> REACH -> ZERO -> TYPE -> SHADOW -> SHUTTER,26.883,34500,8,1,13,0,3,3,True,False,False,18.0,4.5688,2.4,1.2,4.4,0.0,-3.6858,0.0,-0.0,0.0
114,dense_height_plate_shutter-018,,dense,HEIGHT+PLATE+SHUTTER,OVERLAP -> SHADOW -> TYPE -> SHUTTER -> ORIENTATION,26.702,1518000,6,2,11,0,4,2,False,False,False,14.0,4.302,3.4,0.0,6.6,0.0,-1.6,0.0,-0.0,0.0
115,three_height_light_shutter-001,,three,HEIGHT+LIGHT+SHUTTER,OVERLAP -> SHADOW -> ZERO -> LIGHT -> REACH -> SHUTTER -> TYPE,26.6283,138000,8,1,22,0,1,2,True,False,False,17.2,5.4283,1.8,1.2,3.6,0.0,-2.6,0.0,-0.0,0.0
116,three_height_plate_shutter-004,,three,HEIGHT+PLATE+SHUTTER,OVERLAP -> SHADOW -> REACH -> TYPE -> ZERO -> SHUTTER -> ORIENTATION,26.6039,138000,7,4,17,0,1,1,True,False,False,15.8,5.0039,1.8,1.2,3.6,0.0,-0.8,0.0,-0.0,0.0
117,fog_height_light-004,,fog,HEIGHT+LIGHT,REACH -> SHADOW -> ZERO -> LIGHT -> TYPE,26.5296,41400,7,9,57,3,0,1,True,True,False,16.2,7.0296,0.0,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
118,dense_height_plate_shutter-002,,dense,HEIGHT+PLATE+SHUTTER,OVERLAP -> SHADOW -> REACH -> ZERO -> ORIENTATION -> TYPE -> SHUTTER,26.4975,1518000,9,3,18,0,2,4,True,False,False,20.2,5.0975,1.6,1.2,3.6,0.0,-5.2,0.0,-0.0,0.0
119,three_height_light_shutter-002,,three,HEIGHT+LIGHT+SHUTTER,OVERLAP -> SHADOW -> REACH -> ZERO -> LIGHT -> TYPE -> SHUTTER,26.3675,138000,8,6,17,0,1,2,True,True,False,18.0,5.0039,0.8,1.2,3.6,0.0,-2.2364,0.0,-0.0,0.0
120,dense_height_plate_light-019,,dense,HEIGHT+PLATE+LIGHT,OVERLAP -> SHADOW -> ZERO -> LIGHT -> ORIENTATION -> TYPE,26.3438,1214400,9,2,28,0,1,3,False,False,False,19.8,5.8296,0.8,0.0,3.6,0.0,-3.6858,0.0,-0.0,0.0
121,three_height_plate_shutter-006,,three,HEIGHT+PLATE+SHUTTER,OVERLAP -> SHADOW -> ZERO -> SHUTTER -> TYPE -> ORIENTATION,26.2251,138000,8,5,25,0,1,3,True,False,False,18.0,5.6405,1.8,1.2,3.6,0.0,-4.0154,0.0,-0.0,0.0
122,fog_height_light-002,,fog,HEIGHT+LIGHT,SHADOW -> ZERO -> LIGHT -> TYPE,26.0995,41400,7,9,56,3,0,1,True,False,False,15.8,6.9995,0.0,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
123,fog_height_plate_light-008,,fog,HEIGHT+PLATE+LIGHT,SHADOW -> REACH -> TYPE -> LIGHT -> ORIENTATION,26.0854,110400,7,16,108,3,0,2,False,False,False,16.6,8.1218,0.0,0.0,3.6,0.0,-2.2364,0.0,-0.0,0.0
124,fog_height_light-008,,fog,HEIGHT+LIGHT,SHADOW -> REACH -> ZERO -> LIGHT -> TYPE,26.0688,41400,7,5,55,3,0,1,True,False,False,15.8,6.9688,0.0,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
125,three_height_plate_light-006,,three,HEIGHT+PLATE+LIGHT,OVERLAP -> SHADOW -> REACH -> LIGHT -> ORIENTATION -> TYPE,25.8513,110400,6,2,21,0,2,1,False,True,False,13.6,5.3513,2.6,0.0,5.1,0.0,-0.8,0.0,-0.0,0.0
126,two_plate_light-006,,two,PLATE+LIGHT,OVERLAP -> SHADOW -> ZERO -> LIGHT -> PLATE_ABSENCE -> ORIENTATION,25.8169,55200,6,9,60,0,1,0,True,False,False,12.8,7.1169,1.8,1.2,2.9,0.0,-0.0,0.0,-0.0,0.0
127,three_height_plate_light-004,,three,HEIGHT+PLATE+LIGHT,OVERLAP -> SHADOW -> REACH -> ZERO -> LIGHT -> ORIENTATION -> TYPE,25.6708,110400,7,6,41,0,1,2,True,False,False,16.2,6.4708,0.8,1.2,3.6,0.0,-2.6,0.0,-0.0,0.0
128,three_height_plate_light-002,,three,HEIGHT+PLATE+LIGHT,OVERLAP -> SHADOW -> LIGHT -> TYPE -> ZERO -> ORIENTATION,25.5726,110400,5,7,49,0,1,2,True,True,False,11.8,6.7726,1.8,1.2,6.6,0.0,-2.6,0.0,-0.0,0.0
129,three_height_plate_shutter-009,,three,HEIGHT+PLATE+SHUTTER,OVERLAP -> TYPE -> ZERO -> SHUTTER -> ORIENTATION,25.4748,138000,6,6,44,0,3,3,True,False,False,13.2,6.5902,3.4,1.2,5.1,0.0,-4.0154,0.0,-0.0,0.0
130,two_plate_light-004,,two,PLATE+LIGHT,OVERLAP -> SHADOW -> ZERO -> LIGHT -> ORIENTATION,25.4726,55200,6,7,49,0,1,1,True,False,False,13.6,6.7726,1.8,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
131,dense_height_plate_shutter-003,,dense,HEIGHT+PLATE+SHUTTER,OVERLAP -> ZERO -> SHADOW -> REACH -> SHUTTER -> TYPE -> ORIENTATION,25.3513,1518000,13,5,73,0,1,4,True,False,False,22.0,7.4513,0.8,1.2,3.6,0.0,-5.2,0.0,-4.5,0.0
132,two_height_shutter-003,,two,HEIGHT+SHUTTER,OVERLAP -> SHADOW -> ZERO -> SHUTTER -> TYPE,25.2883,34500,6,4,14,0,2,2,True,False,False,14.0,4.6883,2.6,1.2,4.4,0.0,-1.6,0.0,-0.0,0.0
133,three_height_plate_shutter-007,,three,HEIGHT+PLATE+SHUTTER,OVERLAP -> SHADOW -> ZERO -> SHUTTER -> TYPE -> ORIENTATION,25.0296,138000,8,2,28,0,1,3,True,False,False,18.0,5.8296,0.8,1.2,3.6,0.0,-4.4,0.0,-0.0,0.0
134,two_plate_shutter-002,,two,PLATE+SHUTTER,OVERLAP -> SHADOW -> ZERO -> SHUTTER -> ORIENTATION,24.9708,69000,6,6,41,0,2,1,True,False,False,13.6,6.4708,1.6,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
135,two_plate_light-008,,two,PLATE+LIGHT,OVERLAP -> SHADOW -> ZERO -> LIGHT -> ORIENTATION,24.9296,55200,6,5,28,0,1,0,False,False,False,14.4,5.8296,1.8,0.0,2.9,0.0,-0.0,0.0,-0.0,0.0
136,three_height_light_shutter-003,,three,HEIGHT+LIGHT+SHUTTER,OVERLAP -> REACH -> LIGHT -> TYPE -> SHADOW -> ZERO -> SHUTTER,24.9039,138000,6,3,8,0,2,0,True,False,False,13.2,3.8039,1.6,1.2,5.1,0.0,-0.0,0.0,-0.0,0.0
137,two_plate_light-003,,two,PLATE+LIGHT,OVERLAP -> PLATE_ABSENCE -> SHADOW -> LIGHT -> ORIENTATION,24.8645,55200,4,9,78,0,1,0,False,False,False,9.6,7.5645,1.8,0.0,5.9,0.0,-0.0,0.0,-0.0,0.0
138,two_plate_shutter-007,,two,PLATE+SHUTTER,OVERLAP -> SHADOW -> ZERO -> PLATE_ABSENCE -> ORIENTATION -> SHUTTER,24.8513,69000,7,8,21,0,1,1,True,False,False,15.4,5.3513,0.8,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
139,two_shutter_light-001,,two,LIGHT+SHUTTER,OVERLAP -> SHADOW -> ZERO -> LIGHT -> SHUTTER,24.7708,46000,6,10,20,0,1,1,True,False,False,14.4,5.2708,1.8,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
140,dense_height_plate_light-012,,dense,HEIGHT+PLATE+LIGHT,OVERLAP -> SHADOW -> LIGHT -> ORIENTATION -> REACH -> TYPE,24.6162,1214400,6,2,11,0,3,3,False,False,False,14.0,4.302,3.4,0.0,6.6,0.0,-3.6858,0.0,-0.0,0.0
141,two_shutter_light-003,,two,LIGHT+SHUTTER,OVERLAP -> SHADOW -> ZERO -> LIGHT -> SHUTTER,24.5883,46000,6,7,29,0,1,1,True,False,False,13.6,5.8883,1.8,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
142,two_plate_light-002,,two,PLATE+LIGHT,OVERLAP -> SHADOW -> ZERO -> LIGHT -> PLATE_ABSENCE -> ORIENTATION,24.5655,55200,6,3,46,0,1,1,False,False,False,14.0,6.6655,1.8,0.0,2.9,0.0,-0.8,0.0,-0.0,0.0
143,three_height_plate_light-010,,three,HEIGHT+PLATE+LIGHT,OVERLAP -> SHADOW -> REACH -> LIGHT -> TYPE -> ZERO -> ORIENTATION,24.5551,110400,7,7,34,0,1,2,True,False,False,15.4,6.1551,0.8,1.2,3.6,0.0,-2.6,0.0,-0.0,0.0
144,two_plate_light-001,,two,PLATE+LIGHT,OVERLAP -> SHADOW -> LIGHT -> ORIENTATION,24.5296,55200,6,5,28,0,1,0,False,False,False,14.0,5.8296,1.8,0.0,2.9,0.0,-0.0,0.0,-0.0,0.0
145,three_height_plate_light-007,,three,HEIGHT+PLATE+LIGHT,OVERLAP -> SHADOW -> REACH -> TYPE -> LIGHT -> ORIENTATION -> PLATE_ABSENCE,24.3863,110400,7,2,9,0,1,1,False,False,False,15.8,3.9863,1.8,0.0,3.6,0.0,-0.8,0.0,-0.0,0.0
146,two_height_shutter-006,,two,HEIGHT+SHUTTER,OVERLAP -> SHADOW -> ZERO -> TYPE -> SHUTTER,24.3142,34500,7,2,7,0,2,3,True,False,False,16.2,3.6,2.6,1.2,4.4,0.0,-3.6858,0.0,-0.0,0.0
147,three_height_light_shutter-008,,three,HEIGHT+LIGHT+SHUTTER,OVERLAP -> SHADOW -> REACH -> TYPE -> LIGHT -> ZERO -> SHUTTER,24.302,138000,6,5,23,0,1,1,True,False,False,14.0,5.502,0.8,1.2,3.6,0.0,-0.8,0.0,-0.0,0.0
148,dense_height_plate_light-007,,dense,HEIGHT+PLATE+LIGHT,OVERLAP -> SHADOW -> REACH -> LIGHT -> ORIENTATION -> TYPE,24.2425,1214400,7,2,22,0,2,3,False,False,False,15.8,5.4283,1.6,0.0,5.1,0.0,-3.6858,0.0,-0.0,0.0
149,three_height_light_shutter-006,,three,HEIGHT+LIGHT+SHUTTER,OVERLAP -> SHADOW -> ZERO -> LIGHT -> SHUTTER -> TYPE,24.102,138000,7,0,5,0,1,1,True,False,False,16.2,3.102,0.8,1.2,3.6,0.0,-0.8,0.0,-0.0,0.0
150,dense_height_plate_light-006,,dense,HEIGHT+PLATE+LIGHT,OVERLAP -> SHADOW -> REACH -> LIGHT -> TYPE -> ORIENTATION -> PLATE_ABSENCE,24.0162,1214400,8,1,11,0,1,3,False,False,False,18.0,4.302,1.8,0.0,3.6,0.0,-3.6858,0.0,-0.0,0.0
151,two_shutter_light-004,,two,LIGHT+SHUTTER,OVERLAP -> SHADOW -> ZERO -> SHUTTER -> LIGHT,23.5975,46000,5,9,37,0,1,1,True,False,False,12.2,6.2975,1.8,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
152,three_height_light_shutter-005,,three,HEIGHT+LIGHT+SHUTTER,OVERLAP -> SHADOW -> TYPE -> LIGHT -> ZERO -> SHUTTER,23.5499,138000,6,4,19,0,1,2,True,False,False,14.0,5.1863,1.8,1.2,3.6,0.0,-2.2364,0.0,-0.0,0.0
153,two_height_plate-001,,two,HEIGHT+PLATE,OVERLAP -> SHADOW -> REACH -> TYPE -> ORIENTATION -> PLATE_ABSENCE,23.5405,27600,6,2,12,0,1,1,True,False,False,14.0,4.4405,1.8,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
154,two_height_shutter-005,,two,HEIGHT+SHUTTER,OVERLAP -> ZERO -> TYPE -> SHUTTER -> SHADOW,23.502,34500,6,2,5,0,2,1,True,False,False,14.0,3.102,1.6,1.2,4.4,0.0,-0.8,0.0,-0.0,0.0
155,three_height_plate_light-009,,three,HEIGHT+PLATE+LIGHT,OVERLAP -> REACH -> SHADOW -> ZERO -> LIGHT -> ORIENTATION -> TYPE,23.4883,110400,6,0,14,0,1,0,False,False,False,14.4,4.6883,0.8,0.0,3.6,0.0,-0.0,0.0,-0.0,0.0
156,two_shutter_light-002,,two,LIGHT+SHUTTER,OVERLAP -> SHADOW -> ZERO -> LIGHT -> SHUTTER,23.4513,46000,6,7,21,0,1,0,True,False,False,13.2,5.3513,0.8,1.2,2.9,0.0,-0.0,0.0,-0.0,0.0
157,fog_height_light-010,,fog,HEIGHT+LIGHT,SHADOW -> REACH -> ZERO -> LIGHT -> TYPE,23.3708,41400,6,3,41,3,0,1,True,False,False,13.6,6.4708,0.0,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
158,three_height_light_shutter-004,,three,HEIGHT+LIGHT+SHUTTER,OVERLAP -> SHADOW -> REACH -> ZERO -> LIGHT -> TYPE -> SHUTTER,23.3324,138000,6,5,13,0,1,2,True,False,False,14.4,4.5688,1.8,1.2,3.6,0.0,-2.2364,0.0,-0.0,0.0
159,two_height_light-006,,two,HEIGHT+LIGHT,OVERLAP -> SHADOW -> REACH -> ZERO -> LIGHT -> TYPE,23.1296,41400,5,4,28,0,1,1,True,True,False,12.2,5.8296,1.8,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
160,three_height_plate_shutter-003,,three,HEIGHT+PLATE+SHUTTER,OVERLAP -> SHADOW -> REACH -> TYPE -> ZERO -> ORIENTATION -> SHUTTER,22.9572,138000,7,7,24,0,1,3,True,False,False,15.8,5.5726,0.8,1.2,3.6,0.0,-4.0154,0.0,-0.0,0.0
161,three_height_plate_shutter-005,,three,HEIGHT+PLATE+SHUTTER,OVERLAP -> SHADOW -> ZERO -> SHUTTER -> TYPE -> ORIENTATION,22.9071,138000,6,3,12,0,2,2,True,False,False,14.0,4.4405,1.6,1.2,3.6,0.0,-1.9334,0.0,-0.0,0.0
162,three_height_plate_light-001,,three,HEIGHT+PLATE+LIGHT,OVERLAP -> SHADOW -> ZERO -> REACH -> LIGHT -> TYPE -> ORIENTATION,22.6656,110400,7,4,11,0,1,2,False,False,False,16.2,4.302,0.8,0.0,3.6,0.0,-2.2364,0.0,-0.0,0.0
163,two_height_plate-006,,two,HEIGHT+PLATE,OVERLAP -> REACH -> SHADOW -> ZERO -> TYPE -> ORIENTATION,22.405,27600,6,2,16,0,1,1,False,False,False,13.6,4.905,1.8,0.0,2.9,0.0,-0.8,0.0,-0.0,0.0
164,two_plate_shutter-004,,two,PLATE+SHUTTER,OVERLAP -> SHADOW -> PLATE_ABSENCE -> ZERO -> SHUTTER -> ORIENTATION,22.3883,69000,6,3,14,0,1,1,True,False,False,13.6,4.6883,0.8,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
165,three_height_light_shutter-007,,three,HEIGHT+LIGHT+SHUTTER,OVERLAP -> TYPE -> ZERO -> LIGHT -> SHADOW -> SHUTTER,22.3039,138000,5,0,8,0,2,1,True,False,False,11.4,3.8039,1.6,1.2,5.1,0.0,-0.8,0.0,-0.0,0.0
166,fog_height_plate_light-009,,fog,HEIGHT+PLATE+LIGHT,SHADOW -> REACH -> LIGHT -> TYPE -> ORIENTATION,22.2283,110400,6,3,22,3,0,1,False,False,False,14.0,5.4283,0.0,0.0,3.6,0.0,-0.8,0.0,-0.0,0.0
167,dense_height_plate_light-004,,dense,HEIGHT+PLATE+LIGHT,OVERLAP -> REACH -> SHADOW -> LIGHT -> ORIENTATION -> TYPE -> PLATE_ABSENCE,22.102,1214400,6,1,11,0,1,2,False,False,False,14.0,4.302,1.8,0.0,3.6,0.0,-1.6,0.0,-0.0,0.0
168,two_height_plate-002,,two,HEIGHT+PLATE,OVERLAP -> SHADOW -> TYPE -> ORIENTATION -> REACH,21.9656,27600,6,5,23,0,1,2,False,False,False,14.0,5.502,1.8,0.0,2.9,0.0,-2.2364,0.0,-0.0,0.0
169,three_height_plate_light-003,,three,HEIGHT+PLATE+LIGHT,OVERLAP -> REACH -> SHADOW -> TYPE -> LIGHT -> ORIENTATION,21.8883,110400,6,3,14,0,1,1,False,True,False,13.6,4.6883,0.8,0.0,3.6,0.0,-0.8,0.0,-0.0,0.0
170,two_height_light-007,,two,HEIGHT+LIGHT,OVERLAP -> REACH -> SHADOW -> LIGHT -> TYPE -> ZERO,21.8513,41400,5,2,21,0,1,1,True,True,False,11.4,5.3513,1.8,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
171,two_height_plate-008,,two,HEIGHT+PLATE,OVERLAP -> SHADOW -> REACH -> ORIENTATION -> TYPE -> ZERO,21.6675,27600,5,6,35,0,1,2,True,False,False,11.8,6.2039,1.8,1.2,2.9,0.0,-2.2364,0.0,-0.0,0.0
172,two_shutter_light-008,,two,LIGHT+SHUTTER,OVERLAP -> SHADOW -> ZERO -> SHUTTER -> LIGHT,21.3883,46000,5,0,14,0,1,0,True,False,False,11.8,4.6883,0.8,1.2,2.9,0.0,-0.0,0.0,-0.0,0.0
173,three_height_plate_light-005,,three,HEIGHT+PLATE+LIGHT,OVERLAP -> SHADOW -> REACH -> LIGHT -> TYPE -> ORIENTATION,21.2283,110400,5,5,45,0,1,2,False,False,False,11.8,6.6283,1.8,0.0,3.6,0.0,-2.6,0.0,-0.0,0.0
174,two_height_plate-004,,two,HEIGHT+PLATE,OVERLAP -> SHADOW -> REACH -> ORIENTATION -> TYPE,21.202,27600,5,6,23,0,1,1,False,False,False,11.8,5.502,1.8,0.0,2.9,0.0,-0.8,0.0,-0.0,0.0
175,two_plate_light-007,,two,PLATE+LIGHT,OVERLAP -> SHADOW -> ZERO -> LIGHT -> PLATE_ABSENCE -> ORIENTATION,21.1405,55200,5,4,25,0,1,1,True,False,False,11.4,5.6405,0.8,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
176,two_height_light-005,,two,HEIGHT+LIGHT,OVERLAP -> SHADOW -> ZERO -> LIGHT -> TYPE,21.1039,41400,5,1,17,0,1,1,False,False,False,12.2,5.0039,1.8,0.0,2.9,0.0,-0.8,0.0,-0.0,0.0
177,two_height_plate-007,,two,HEIGHT+PLATE,OVERLAP -> SHADOW -> TYPE -> ORIENTATION,21.1039,27600,5,5,17,0,1,1,False,False,False,12.2,5.0039,1.8,0.0,2.9,0.0,-0.8,0.0,-0.0,0.0
178,two_height_light-001,,two,HEIGHT+LIGHT,OVERLAP -> REACH -> SHADOW -> LIGHT -> TYPE -> ZERO,20.9039,41400,5,2,17,0,1,1,True,False,False,11.8,5.0039,0.8,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
179,two_height_shutter-004,,two,HEIGHT+SHUTTER,OVERLAP -> SHADOW -> ZERO -> SHUTTER -> TYPE,20.7863,34500,6,2,4,0,2,2,False,False,False,13.6,2.7863,1.6,0.0,4.4,0.0,-1.6,0.0,-0.0,0.0
180,two_plate_shutter-005,,two,PLATE+SHUTTER,OVERLAP -> SHADOW -> ZERO -> PLATE_ABSENCE -> SHUTTER -> ORIENTATION,20.5264,69000,5,5,20,0,1,2,True,False,True,12.2,5.2708,0.8,2.4,2.9,0.0,-3.0444,0.0,-0.0,0.0
181,two_height_shutter-007,,two,HEIGHT+SHUTTER,OVERLAP -> REACH -> SHADOW -> ZERO -> SHUTTER -> TYPE,20.525,34500,7,0,2,0,1,2,False,False,False,16.6,1.902,0.8,0.0,2.9,0.0,-1.677,0.0,-0.0,0.0
182,two_shutter_light-005,,two,LIGHT+SHUTTER,OVERLAP -> SHADOW -> ZERO -> LIGHT -> SHUTTER,20.3405,46000,5,2,12,0,1,1,True,False,False,11.8,4.4405,0.8,1.2,2.9,0.0,-0.8,0.0,-0.0,0.0
183,two_height_light-002,,two,HEIGHT+LIGHT,OVERLAP -> SHADOW -> LIGHT -> TYPE,19.9883,41400,5,1,14,0,1,1,False,False,False,11.4,4.6883,1.8,0.0,2.9,0.0,-0.8,0.0,-0.0,0.0
